Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Мурманская область;47000000000;687202.0;678075.0;669063.0;659515.0;649142.0;637619.0;625319.0;616033.0;611745.0;608175.0
Новгородская область;49000000000;438664.0;436671.0;434270.0;431889.0;430247.0;428758.0;426363.0;422954.0;419760.0;417249.0
Псковская область;58000000000;450955.0;447344.0;443512.0;438973.0;434838.0;430500.0;425584.0;419903.0;414033.0;409091.0
Город Санкт-Петербург город федерального значения;40000000000;5303737.0;5368297.0;5450085.0;5520589.0;5563564.0;5584633.0;5598215.0;5603980.0;5598903.0;5625343.0
Южный федеральный округ (с 2010 года);037;8819070.0;;;;;;;;;
Южный федеральный округ (с 29.07.2016);040;10253641.0;10345600.0;10418260.0;10477579.0;10533306.0;10560625.0;10563673.0;10542355.0;10517590.0;10507909.0
Республика Адыгея (Адыгея);79000000000;233883.0;236185.0;237061.0;237575.0;240803.0;243396.0;244838.0;245189.0;243777.0;243305.0
Республика Калмыкия;85000000000;126432.0;126101.0;125651.0;124872.0;124615.0;124832.0;124783.0;124458.0;124772.0;125637.0
Республика Крым;35000000000;966353.0;973855.0;978773.0;981330.0;983335.0;980628.0;975548.0;969094.0;961245.0;955728.0
Краснодарский край;03000000000;3029831.0;3089925.0;3143108.0;3193276.0;3239255.0;3273655.0;3305730.0;3323569.0;3333022.0;3347381.0
Астраханская область;12000000000;661711.0;657081.0;653599.0;649678.0;642488.0;632420.0;621486.0;612355.0;606830.0;604592.0
Волгоградская область;18000000000;1966085.0;1963824.0;1960753.0;1956746.0;1951988.0;1945771.0;1936830.0;1923765.0;1911251.0;1899920.0
Ростовская область;60000000000;2883094.0;2884452.0;2885221.0;2881177.0;2878065.0;2872781.0;2856372.0;2833084.0;2818562.0;2813015.0
Город федерального значения Севастополь;67000000000;386249.0;414174.0;434090.0;452922.0;472753.0;487136.0;498082.0;510838.0;518128.0;518328.0
Северо-Кавказский федеральный округ;038;4861266.0;4913432.0;4960430.0;5005026.0;5059762.0;5108039.0;5139649.0;5159924.0;5192600.0;5291768.0
Республика Дагестан;82000000000;1359840.0;1374730.0;1388347.0;1401896.0;1416424.0;1428136.0;1437015.0;1445877.0;1455332.0;1466739.0
Республика Ингушетия;26000000000;216774.0;227695.0;237186.0;246564.0;256776.0;266558.0;275722.0;282471.0;287315.0;291948.0
Кабардино-Балкарская Республика;83000000000;465522.0;466457.0;467155.0;467329.0;467831.0;468541.0;469044.0;468544.0;467946.0;468549.0
Карачаево-Черкесская Республика;91000000000;197945.0;197170.0;196351.0;195894.0;195593.0;195161.0;194411.0;193859.0;193874.0;194131.0
Республика Северная Осетия-Алания;90000000000;448481.0;447547.0;446444.0;444696.0;442550.0;439615.0;435523.0;431684.0;429886.0;429805.0
Чеченская Республика;96000000000;498417.0;510974.0;523784.0;536299.0;548988.0;561833.0;572756.0;581260.0;603533.0;683537.0
Ставропольский край;07000000000;1674282.0;1688855.0;1701161.0;1712346.0;1731597.0;1748193.0;1755177.0;1756227.0;1754713.0;1757057.0
Приволжский федеральный округ;033;21228362.0;21238135.0;21229364.0;21181866.0;21127182.0;21037434.0;20906610.0;20790907.0;20701527.0;20633300.0
Республика Башкортостан;80000000000;2522932.0;2528509.0;2533610.0;2536596.0;2538546.0;2535637.0;2535272.0;2540848.0;2543398.0;2542057.0
