Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Череповец;194;Женщины;Городская местность;-112.0;-218.0;-218.0;-218.0;-218.0;-218.0;-218.0
Калининградская область;270;Женщины;Городская местность;2911.0;3426.0;4227.0;4163.0;4435.0;1671.0;1927.0
Ленинградская область;410;Женщины;Городская местность;516.0;2970.0;6450.0;12325.0;10699.0;11089.0;5866.0
Мурманская область;470;Женщины;Городская местность;-2947.0;-2507.0;-3302.0;-2326.0;-2566.0;-1916.0;321.0
Новгородская область;490;Женщины;Городская местность;-678.0;59.0;112.0;417.0;465.0;30.0;-92.0
Псковская область;580;Женщины;Городская местность;-647.0;-199.0;-157.0;321.0;-125.0;-623.0;-764.0
Город Санкт-Петербург город федерального значения;400;Женщины;Городская местность;28310.0;14235.0;13581.0;2859.0;7168.0;4125.0;8334.0
Южный федеральный округ (с 29.07.2016);40;Женщины;Городская местность;16229.0;21762.0;10913.0;14919.0;17297.0;3329.0;20589.0
Республика Адыгея (Адыгея);790;Женщины;Городская местность;-415.0;170.0;678.0;5.0;869.0;123.0;179.0
Республика Калмыкия;850;Женщины;Городская местность;-444.0;-585.0;-33.0;12.0;-16.0;-282.0;291.0
Республика Крым;350;Женщины;Городская местность;511.0;1004.0;770.0;775.0;180.0;-1435.0;941.0
Краснодарский край;300;Женщины;Городская местность;15713.0;19031.0;9414.0;10921.0;14239.0;5828.0;11325.0
Краснодар;340;Женщины;Городская местность;7652.0;7171.0;7171.0;7171.0;7171.0;7171.0;7171.0
Армавир;340;Женщины;Городская местность;-119.0;-149.0;-149.0;-149.0;-149.0;-149.0;-149.0
Новороссийск;342;Женщины;Городская местность;1242.0;918.0;918.0;918.0;918.0;918.0;918.0
Сочи;342;Женщины;Городская местность;5649.0;6912.0;6912.0;6912.0;6912.0;6912.0;6912.0
Астраханская область;120;Женщины;Городская местность;-690.0;-1036.0;-1084.0;-1292.0;-2145.0;-2438.0;-1709.0
Волгоградская область;180;Женщины;Городская местность;-1901.0;203.0;-1279.0;137.0;1051.0;-536.0;-829.0
Ростовская область;600;Женщины;Городская местность;798.0;620.0;304.0;146.0;-1120.0;-2574.0;6699.0
Город федерального значения Севастополь;670;Женщины;Городская местность;2657.0;2355.0;2143.0;4215.0;4239.0;4643.0;3692.0
Северо-Кавказский федеральный округ;38;Женщины;Городская местность;-3055.0;-876.0;3069.0;1363.0;-372.0;-1603.0;694.0
Республика Дагестан;820;Женщины;Городская местность;-362.0;238.0;-454.0;-295.0;-30.0;316.0;-974.0
Республика Ингушетия;260;Женщины;Городская местность;958.0;1519.0;1430.0;706.0;725.0;556.0;976.0
Кабардино-Балкарская Республика;830;Женщины;Городская местность;-871.0;-1211.0;-829.0;-140.0;-634.0;-871.0;-118.0
Карачаево-Черкесская Республика;910;Женщины;Городская местность;-363.0;-97.0;-140.0;13.0;-182.0;-119.0;-6.0
Республика Северная Осетия-Алания;900;Женщины;Городская местность;-1292.0;-1505.0;-1377.0;-1055.0;-1312.0;-1652.0;-801.0
Чеченская Республика;960;Женщины;Городская местность;-323.0;-967.0;-389.0;-237.0;-927.0;-1289.0;-1690.0
Ставропольский край;700;Женщины;Городская местность;-802.0;1147.0;4828.0;2371.0;1988.0;1456.0;3307.0
Приволжский федеральный округ;33;Женщины;Городская местность;-9776.0;-10012.0;2645.0;3067.0;4639.0;-2736.0;1473.0
Республика Башкортостан;800;Женщины;Городская местность;-597.0;-454.0;1316.0;-198.0;5347.0;3729.0;3338.0
Республика Марий Эл;880;Женщины;Городская местность;203.0;615.0;947.0;1667.0;1474.0;714.0;593.0
Республика Мордовия;890;Женщины;Городская местность;-803.0;-557.0;-181.0;-268.0;-47.0;-779.0;-138.0
Республика Татарстан (Татарстан);920;Женщины;Городская местность;1582.0;593.0;-209.0;-579.0;-1090.0;-755.0;-1254.0
Удмуртская Республика;940;Женщины;Городская местность;15.0;-146.0;-203.0;691.0;532.0;72.0;29.0
